0.487,0.498,0.511,0.479,0.502,0.494,0.538,0.505,0.483,0.503,0
0.477,0.486,0.490,0.488,0.403,0.472,0.455,0.476,0.472,0.497,0
0.5,0.477,0.328,0.479,0.475,0.496,0.439,0.436,0.495,0.497,0
0.509,0.506,0.5,0.561,0.499,0.525,0.526,0.498,0.508,0.505,0
0.461,0.479,0.495,0.479,0.448,0.507,0.478,0.333,0.465,0.487,1
0.476,0.307,0.489,0.488,0.475,0.523,0.498,0.491,0.567,0.488,1
0.493,0.523,0.463,0.479,0.372,0.489,0.502,0.577,0.2,0.410,1
0.490,0.487,0.553,0.535,0.521,0.514,0.488,0.477,0.469,0.478,1
0.480,0.494,0.497,0.447,0.521,0.521,0.513,0.534,0.495,0.500,0
0.554,0.498,0.534,0.717,0.523,0.495,0.521,0.487,0.461,0.497,1
0.497,0.506,0.501,0.495,0.536,0.550,0.504,0.497,0.493,0.551,1
0.489,0.484,0.517,0.523,0.493,0.494,0.502,0.498,0.520,0.506,1
0.504,0.505,0.567,0.608,0.539,0.503,0.519,0.512,0.669,0.719,1
0.5,0.440,0.5,0.566,0.370,0.502,0.530,0.521,0.627,0.482,0
0.511,0.500,0.522,0.511,0.509,0.504,0.523,0.509,0.501,0.502,0
0.496,0.512,0.455,0.503,0.516,0.578,0.498,0.504,0.528,0.513,0
0.527,0.501,0.495,0.568,0.515,0.593,0.503,0.535,0.705,0.489,0
0.529,0.446,0.454,0.532,0.460,0.493,0.504,0.507,0.2,0.217,1
0.508,0.523,0.500,0.507,0.454,0.493,0.490,0.493,0.493,0.507,0
0.495,0.513,0.541,0.540,0.525,0.489,0.492,0.508,0.485,0.516,0
0.457,0.489,0.482,0.462,0.479,0.493,0.471,0.447,0.313,0.440,1
0.525,0.468,0.505,0.526,0.483,0.472,0.514,0.484,0.576,0.552,0
0.464,0.383,0.575,0.511,0.494,0.541,0.28,0.462,0.307,0.491,1
0.470,0.485,0.487,0.489,0.478,0.473,0.507,0.487,0.453,0.481,1
0.492,0.529,0.481,0.560,0.5,0.534,0.501,0.487,0.514,0.514,0
0.528,0.505,0.512,0.371,0.506,0.495,0.511,0.541,0.474,0.538,0
0.458,0.489,0.5,0.477,0.461,0.501,0.480,0.484,0.477,0.488,1
0.503,0.529,0.491,0.544,0.508,0.456,0.479,0.505,0.486,0.473,0
0.475,0.507,0.493,0.486,0.494,0.427,0.489,0.478,0.476,0.466,1
